instance,title,replies,retweets,likes,class
189,Our Power Switch newsletter takes you inside the politics shaping decisions around transformational energy policy from production to storage distribution to consumption. Don’t miss out subscribe now.https://t.co/3EIZcvQLkp https://t.co/ptuzVuuq9D',4,1,5,real
190,After Sen. Joe Manchin killed their more ambitious tax plans Democrats are left with legislation that includes a multibillion-dollar tax credit for semiconductor makers https://t.co/0RoJ22bMvW',9,7,23,real
191,Start each day with POLITICO Playbook for the big stories and scoops you need to know – and the insider nuggets you want to know – from Washington and across the political landscape. Subscribe today.https://t.co/Ceig2eRhJ2 https://t.co/cfWCtyt2Gq',2,3,7,fake
192,Ben Afflecks French boat ride turned into a good old-fashioned sieste on the Seine River. https://t.co/ajDD6EX4JV',6,2,16,real
193,Machine Gun Kelly Violated by Fan Who Grabs His Privates at Concert https://t.co/BxWOXMhMfK',9,5,18,fake
194,Jason Momoa made contact with a motorcycle rider who turned a sharp corner near Calabasas in a head-on collision that luckily didnt result in serious injury. https://t.co/0gdcluWVaO',1,3,32,real
195,Keke Palmers career is being compared to Zendayas after her lead role in #NopeMovie with some saying they feel colorism might be why one has ascended faster than the other. https://t.co/8Jr6fqkY55',42,14,109,real
196,Gregg Popovich gave a speech at Jay-Zs social justice summit this weekend -- once again making his positions on the issue crystal clear in a rousing speech. https://t.co/fApnlO326v',9,5,41,real
197,Travis Scott made it to Rolling Loud after all ... once again leaving questions as to why he wasnt just booked as a headliner in the first place. https://t.co/kQ4GpeY5IP',1,6,29,real
198,Rage Against the Machine has bodyguards that actually may be TOO on the ball because an eagle-eyed hired muscle tackled a fan who rushed the stage and one of the band members got nailed as well. https://t.co/GwMFrxEa8P',6,3,28,real
199,Big Ed is channeling his inner bull rider at the rodeo by holding on for dear life ... only hes not grabbing rope ... hes grabbing his fiancées butt! https://t.co/Ryv1eEcWLw',8,3,31,real
200,Shanna Moaklers boyfriend Matthew Rondeau is facing criminal charges in his domestic violence case. https://t.co/PqHBKz3P6k',3,5,15,real
201,Byron Scott tells TMZ Sports ... Shaquille O Neals son Shareef still has a bright future in the NBA despite having a tough Summer League. https://t.co/3WSgdGYOHF',2,5,39,real
202,This boppin kid is most known for being a Grammy-winning singer and rapper. Can you guess who she is? https://t.co/o0fCwrLDAA',18,4,102,real
203,Dave Chappelle hasnt opened for anyone in years but that changed Saturday night when he warmed up the crowd -- yeah more like supercharged the crowd -- for Chris Rock and Kevin Hart. https://t.co/qcAyBwfXGR',6,8,91,real
204,Kate Moss opened up about her critical testimony in the Johnny Depp/Amber Heard trial and she says its as simple as honoring your duty to be a truth-teller. https://t.co/WXPMWFd5YC',8,7,75,real
205,Naked and Afraid contestant Melanie Rauscher has died under mysterious circumstances in Arizona -- her body was recently found near cans of dust cleaner TMZ has learned. https://t.co/7b44fsOzTD',5,7,32,real
206,Xzibits estranged wife says hes lying about his finances to avoid paying her spousal support in their bitter divorce. https://t.co/tsk6fUOTF0',13,5,39,real
207,Ex-Laker Malik Monk says LeBron James Anthony Davis and Russell Westbrook playing together again will work out. https://t.co/rWLdkm1nLT',11,3,46,real
208,12x World Record-holding international showgirl Marawa strapped on a pair of her signature heeled skates ... and the photos are wheely wheely hot! https://t.co/YXqCh6TmVH',4,4,27,fake
209,Mark Wahlberg is still pulling for his guy Baker Mayfield ... telling TMZ Sports the new Carolina Panthers quarterback has a bright future ahead of him -- even if its not in Foxborough. https://t.co/ddteoH4JXY',5,6,48,real
210,Fast & Furious 10 director Justin Lin finds a buyer for his $6M L.A. penthouse. https://t.co/gxtzZ4EosH',5,7,43,fake
211,Dikembe Mutombos hospital in the Democratic Republic of the Congo has treated more than 1 million people over the years ... and while the ex-NBA star is blessed to do his part for the community he says his work is not done. https://t.co/WCdkBAoBbL',2,8,149,real
212,The clip of Raskin telling off Rep. Chip Roy is quite gratifying — and he even got an applause at the end. (via @TheReidOut Blog) https://t.co/1wVLlcqAO3',19,42,144,real
213,The numbers are in: A majority of Americans think Donald Trump should be charged with Jan. 6 crimes. -@maddowbloghttps://t.co/H159IghQqY',98,115,495,real
214,Glenn Kirschner: Merrick Garland is asking America to trust him on Trump. Im no longer sure we can. https://t.co/wd57ppn4xe',81,102,359,real
215,He represented Trump during the Russia scandal. Now he sees the former president as a disaster for the Republican Party. (via @MaddowBlog) https://t.co/Yk2Z3T6pDr',52,113,354,real
216,Anthea Butler: Greg Abbott is about to learn a big lesson the hard way: Dont mess with Texas mothers.https://t.co/7heQQjsSJ5',47,63,190,real
217,With the help of some Supreme Court justices it seems Democrats now believe it’s easier to win culture war fights than run from them. - @MaddowBlog https://t.co/kXNLbye27D',25,21,96,real
218,After Hutchinson’s testimony there were multiple reports about Secret Service agents preparing to contradict her under oath. But none of them have come forward to refute her under oath. (via @MaddowBlog) https://t.co/OJhayQsiDQ',30,48,217,real
219,Republican leaders decided not to twist any arms on marriage equality so one prominent GOP member took the the task upon himself. (via @MaddowBlog) https://t.co/noCHL0C7hs',26,22,48,real
220,As recently as last week Trump was still lobbying Wisconsins Assembly speaker about undoing his 2020 election defeat. (via @MaddowBlog) https://t.co/0RquzcLpek',61,46,124,real
221,Asked whether a 12-year-old child molested by a family member should carry a pregnancy to term Mississippi Speaker Philip Gunn replied That is my personal belief. (via @MaddowBlog) https://t.co/Ll9RdCt2iB',64,61,82,real
222,Dems are fed up with Manchin over policy derailment. So what happens now? - @MaddowBlog https://t.co/N6W17GHkpp',108,52,179,real
223,One of the amazing things about the Jan. 6 attack was the sheer number of the documentarians involved in capturing the events on camera. (via @MaddowBlog) https://t.co/FpdJczaBLu',32,36,176,real
224,Bill Barrs new election integrity group is thinly-veiled voter suppression. - @thereidout Blog https://t.co/1xg660zkDn',38,114,145,real
225,Think of Barr’s election integrity group like a low-rent version of The Expendables but the old white guys are somehow even older and obsessed with stopping people from voting @_Jahan writes for @thereidout Blog https://t.co/WXlogZfj3l',18,42,119,real
226,.@MaddowBlog: A growing number of Republicans are slamming House Minority Leader McCarthy for his strategic screw-up with the Jan. 6 investigation. He deserves it. https://t.co/IxxxGeGWp7',63,81,374,real
227,Many of Trumps devotees continue to believe that the hes effectively infallible. There is however one notable exception. (via @MaddowBlog) https://t.co/Q1VktEkpub',43,26,88,real
228,Kevin McCarthy has had plenty of time to come up with a defense for his Jan. 6 committee boycott strategy. He apparently hasnt come up with much. (via @MaddowBlog) https://t.co/bWDDHNIiaU',63,113,403,real
229,.@ZeeshanAleem: Prince Harry’s speech on Nelson Mandela was as terrible as it was vacuous https://t.co/WtFfDjKEhP',28,15,54,real
230,Our democracy is bleeding out. Congress doesn’t deserve credit for covering one leak while ignoring others. - @TheReidOut Bloghttps://t.co/bJ4Ob6FJUB',37,40,108,real
231,After Hutchinson’s testimony there were multiple reports about Secret Service agents preparing to contradict her under oath. But none of them have come forward to refute her under oath. (via @MaddowBlog) https://t.co/2eEr7jM5HG',112,208,1003,real
